Chromosomes, Chromosome length, Number of reads, Read length, Edits, PROJECT-5-PYTHON-ARMANDO-CHRISTIAN-PEREZ, PROJECT-5-C-O-NO    , PROJECT-5-GO-HOLDET, READMAP-PYTHON     , READMAP-GO          , READMAP-C-CMAKE     , PROJECT-5-PYTHON-MS-WORLD-WIDES 
10         , 25000            , 100            , 200        , 2    , 0.6092579364776611                      , 0.0352020263671875  , 0.1558079719543457 , 0.29825878143310547, 0.03056502342224121 , 0.017343997955322266, 4.412636995315552               
10         , 25000            , 100            , 200        , 2    , 0.6127760410308838                      , 0.03492093086242676 , 0.15395379066467285, 0.2983589172363281 , 0.029340028762817383, 0.01721978187561035 , 4.373307943344116               
10         , 25000            , 100            , 200        , 2    , 0.6315231323242188                      , 0.03504681587219238 , 0.15235614776611328, 0.2995572090148926 , 0.028803110122680664, 0.017493009567260742, 4.37374210357666                
10         , 25000            , 100            , 200        , 2    , 0.5966041088104248                      , 0.0351259708404541  , 0.1525709629058838 , 0.2971310615539551 , 0.02947998046875    , 0.01826000213623047 , 4.393492937088013               
10         , 25000            , 100            , 200        , 2    , 0.6048634052276611                      , 0.03500103950500488 , 0.15311598777770996, 0.30007100105285645, 0.029356956481933594, 0.017498254776000977, 4.3959760665893555              
10         , 50000            , 100            , 200        , 1    , 1.099719762802124                       , 0.05740475654602051 , 0.2823951244354248 , 0.267287015914917  , 0.04896283149719238 , 0.02896904945373535 , 8.774999856948853               
10         , 50000            , 100            , 200        , 1    , 1.0570659637451172                      , 0.05142092704772949 , 0.2908022403717041 , 0.2651050090789795 , 0.04627203941345215 , 0.0215909481048584  , 8.77463412284851                
10         , 50000            , 100            , 200        , 1    , 1.064560890197754                       , 0.051133155822753906, 0.2799060344696045 , 0.2606337070465088 , 0.0456998348236084  , 0.023040056228637695, 8.764348983764648               
10         , 50000            , 100            , 200        , 1    , 1.0629549026489258                      , 0.050570011138916016, 0.2804248332977295 , 0.2673301696777344 , 0.04581499099731445 , 0.021413803100585938, 8.727312803268433               
10         , 50000            , 100            , 200        , 1    , 1.0600059032440186                      , 0.05269980430603027 , 0.2802600860595703 , 0.2619478702545166 , 0.04563593864440918 , 0.020811080932617188, 8.731831789016724               
10         , 50000            , 100            , 200        , 1    , 1.060534954071045                       , 0.05484509468078613 , 0.28673481941223145, 0.26305723190307617, 0.04583024978637695 , 0.021118879318237305, 8.721729040145874               
10         , 50000            , 100            , 200        , 1    , 1.0764312744140625                      , 0.05539298057556152 , 0.27968692779541016, 0.26172900199890137, 0.045851945877075195, 0.02088618278503418 , 8.748692989349365               
10         , 50000            , 100            , 200        , 1    , 1.0616488456726074                      , 0.05380702018737793 , 0.27974605560302734, 0.2641639709472656 , 0.04679703712463379 , 0.02153491973876953 , 8.713619947433472               
10         , 50000            , 100            , 200        , 1    , 1.0586817264556885                      , 0.05223894119262695 , 0.282275915145874  , 0.2625887393951416 , 0.046319007873535156, 0.020812034606933594, 8.710292100906372               
10         , 50000            , 100            , 200        , 1    , 1.0522780418395996                      , 0.05171322822570801 , 0.2801196575164795 , 0.2651329040527344 , 0.045449256896972656, 0.021420955657958984, 8.717484951019287               
10         , 50000            , 100            , 200        , 1    , 1.0802550315856934                      , 0.051651954650878906, 0.2799842357635498 , 0.25996994972229004, 0.046256065368652344, 0.021066904067993164, 8.724122762680054               
10         , 50000            , 100            , 200        , 1    , 1.076580286026001                       , 0.05130195617675781 , 0.28199005126953125, 0.26782894134521484, 0.04817628860473633 , 0.020685195922851562, 8.76370882987976                
10         , 50000            , 100            , 200        , 1    , 1.067033052444458                       , 0.051328182220458984, 0.28780102729797363, 0.26103687286376953, 0.046112775802612305, 0.02122187614440918 , 8.738404989242554               
10         , 50000            , 100            , 200        , 1    , 1.072868824005127                       , 0.05174589157104492 , 0.279818058013916  , 0.2616300582885742 , 0.04575181007385254 , 0.020677804946899414, 8.72770094871521                
10         , 50000            , 100            , 200        , 1    , 1.0687322616577148                      , 0.05179595947265625 , 0.2815990447998047 , 0.26275110244750977, 0.045835018157958984, 0.02175593376159668 , 8.719397783279419               
10         , 50000            , 100            , 200        , 1    , 1.060910701751709                       , 0.051573991775512695, 0.2798159122467041 , 0.26348018646240234, 0.04635787010192871 , 0.02075815200805664 , 8.854428052902222               
10         , 50000            , 100            , 200        , 1    , 1.0723991394042969                      , 0.051506996154785156, 0.28598713874816895, 0.2627699375152588 , 0.04527997970581055 , 0.020751237869262695, 8.718772888183594               
10         , 50000            , 100            , 200        , 1    , 1.064680814743042                       , 0.051503896713256836, 0.2814910411834717 , 0.2637338638305664 , 0.045918941497802734, 0.020834922790527344, 8.727722883224487               
10         , 50000            , 100            , 200        , 1    , 1.0669779777526855                      , 0.05150628089904785 , 0.280505895614624  , 0.261185884475708  , 0.04589104652404785 , 0.020846128463745117, 8.726263999938965               
10         , 50000            , 100            , 200        , 1    , 1.0591816902160645                      , 0.051715850830078125, 0.28200602531433105, 0.2648589611053467 , 0.0454869270324707  , 0.021013975143432617, 8.730531930923462               
