Chromosomes, Chromosome length, Number of reads, Read length, Edits, PROJECT-5-PYTHON-ASG, PROJECT-5-PYTHON-ARMANDO-CHRISTIAN-PEREZ, PROJECT-5-PYTHON-ILLITERATE-APES, PROJECT-5-GO-HOLDET , PROJECT-5-C-O-NO    , READMAP-PYTHON     , READMAP-GO          , READMAP-C-CMAKE       
10         , 2500             , 100            , 50         , 1    , 8.149420022964478   , 0.09912991523742676                     , 988.1865081787109               , 0.023623228073120117, 0.009072065353393555, 0.18338894844055176, 0.008853912353515625, 0.006303071975708008  
10         , 2500             , 100            , 50         , 1    , 8.194191217422485   , 0.09897994995117188                     , 989.1964828968048               , 0.023049116134643555, 0.008721113204956055, 0.18532586097717285, 0.009476900100708008, 0.006284952163696289  
10         , 2500             , 100            , 50         , 1    , 8.35810899734497    , 0.09791207313537598                     , 989.8923118114471               , 0.0227358341217041  , 0.008605241775512695, 0.19365310668945312, 0.00897669792175293 , 0.006392240524291992  
10         , 2500             , 100            , 50         , 1    , 8.23447585105896    , 0.09884071350097656                     , 982.1598448753357               , 0.022737979888916016, 0.008635759353637695, 0.1884448528289795 , 0.008914947509765625, 0.006910085678100586  
10         , 2500             , 100            , 50         , 1    , 8.279979944229126   , 0.09802794456481934                     , 983.7025120258331               , 0.02348017692565918 , 0.008608102798461914, 0.21431708335876465, 0.008836984634399414, 0.006772041320800781  
10         , 2500             , 100            , 50         , 1    , 8.139653205871582   , 0.09783029556274414                     , 985.6501939296722               , 0.022413969039916992, 0.00869894027709961 , 0.2165360450744629 , 0.009069204330444336, 0.006398916244506836  
10         , 2500             , 100            , 50         , 1    , 8.189700841903687   , 0.09859299659729004                     , 996.824324131012                , 0.02341318130493164 , 0.008758068084716797, 0.17595410346984863, 0.008969783782958984, 0.006500959396362305  
10         , 2500             , 100            , 50         , 1    , 8.196458101272583   , 0.09764695167541504                     , 990.3335912227631               , 0.02291107177734375 , 0.008814096450805664, 0.1956620216369629 , 0.008917093276977539, 0.006438016891479492  
10         , 2500             , 100            , 50         , 1    , 8.268522024154663   , 0.09823203086853027                     , 982.3938541412354               , 0.02285313606262207 , 0.008935928344726562, 0.19742488861083984, 0.009428024291992188, 0.006425142288208008  
10         , 2500             , 100            , 50         , 2    , 2374.2121288776398  , 0.14764690399169922                     , 995.699481010437                , 0.03491091728210449 , 0.013679981231689453, 0.3298342227935791 , 0.012051105499267578, 0.010091066360473633  
10         , 2500             , 100            , 50         , 2    , 2373.7460899353027  , 0.1417677402496338                      , 986.6637587547302               , 0.031443119049072266, 0.01371312141418457 , 0.31578707695007324, 0.01145315170288086 , 0.00971078872680664   
10         , 2500             , 100            , 50         , 2    , 2436.840793132782   , 0.14093613624572754                     , 991.664882183075                , 0.031965017318725586, 0.013492822647094727, 0.3375818729400635 , 0.011420011520385742, 0.010299921035766602  
10         , 2500             , 100            , 50         , 2    , 2366.4783108234406  , 0.14162492752075195                     , 986.9861509799957               , 0.032233238220214844, 0.01350092887878418 , 0.3278019428253174 , 0.011761903762817383, 0.009999990463256836  
10         , 2500             , 100            , 50         , 2    , 2382.88365483284    , 0.14133930206298828                     , 984.7848958969116               , 0.031903982162475586, 0.013957023620605469, 0.33776402473449707, 0.01150202751159668 , 0.009766101837158203  
10         , 2500             , 100            , 50         , 2    , 2388.9333868026733  , 0.14159011840820312                     , 982.354620218277                , 0.03225517272949219 , 0.013847827911376953, 0.31908106803894043, 0.012135982513427734, 0.009709835052490234  
10         , 2500             , 100            , 50         , 2    , 2397.4324839115143  , 0.1415538787841797                      , 981.7185211181641               , 0.031484127044677734, 0.01352691650390625 , 0.32506799697875977, 0.011716842651367188, 0.009906291961669922  
10         , 2500             , 100            , 50         , 2    , 2410.3329870700836  , 0.14209580421447754                     , 988.8217840194702               , 0.031289100646972656, 0.013572216033935547, 0.3276207447052002 , 0.011459112167358398, 0.009743928909301758  
10         , 2500             , 100            , 50         , 2    , 2391.4109461307526  , 0.14077186584472656                     , 981.0582087039948               , 0.030974149703979492, 0.013611793518066406, 0.31653690338134766, 0.011723041534423828, 0.009594917297363281  
10         , 2500             , 100            , 50         , 2    , 2397.802468061447   , 0.14199495315551758                     , 1008.3342711925507              , 0.031221628189086914, 0.01396322250366211 , 0.32999610900878906, 0.01158595085144043 , 0.010537862777709961  
